A,B,C,D,E
59,35,11,39,76
93,79,38,32,66
69,55,9,62,82
46,80,92,25,27
56,89,44,82,78
86,46,92,68,71
67,45,15,49,83
38,25,12,85,55
47,85,45,100,73
60,26,21,6,100
19,96,2,51,8
60,24,51,51,59
63,49,55,19,42
53,90,81,52,92
59,82,74,57,19
66,39,67,69,13
41,22,4,55,74
99,42,71,47,3
51,79,92,10,58
95,38,56,16,48
27,17,54,1,71
9,28,10,19,30
24,95,98,64,5
4,78,92,46,60
91,41,47,28,59
79,64,74,24,23
16,51,57,89,91
11,5,76,56,41
70,83,67,21,100
44,33,54,3,26
84,94,57,9,66
73,24,7,64,12
82,8,96,81,90
75,59,94,1,15
24,25,69,0,77
42,41,84,0,23
43,7,25,88,33
17,57,86,49,17
91,48,47,85,50
38,28,54,90,16
29,99,61,29,31
92,83,29,81,41
92,38,91,91,55
69,94,13,12,11
37,30,41,28,73
6,20,73,80,65
25,4,33,13,94
78,0,67,52,3
75,27,37,4,39
63,42,90,81,57
28,81,30,87,19
90,97,78,98,92
85,24,56,15,44
5,54,24,39,50
36,62,22,88,51
22,17,28,89,97
55,20,84,39,50
86,24,84,95,7
63,45,61,16,18
99,86,11,63,90
62,37,30,34,67
65,96,62,50,19
93,1,38,82,82
82,85,29,82,56
56,37,19,16,52
94,59,3,52,34
11,4,83,69,12
78,62,60,50,14
23,60,66,7,82
97,35,57,60,96
9,82,51,5,1
38,79,67,40,92
76,80,35,72,67
100,17,46,34,1
31,81,2,71,48
48,31,9,79,53
58,78,29,39,44
81,59,58,99,90
23,75,65,61,36
35,62,13,86,49
38,61,8,36,40
79,53,92,71,99
74,43,100,90,97
20,50,36,3,40
39,54,6,42,23
85,100,24,50,6
32,34,25,5,7
64,90,11,53,60
73,97,33,5,53
52,69,88,12,8
16,15,52,44,67
88,88,56,3,1
3,66,82,65,29
80,78,79,16,70
48,28,94,23,35
31,93,91,4,62
72,19,64,87,86
29,83,59,41,13
78,34,73,11,45
62,7,67,66,41
17,100,19,62,20
67,35,84,66,96
73,91,86,67,46
91,13,90,52,37
5,94,62,14,15
99,52,19,35,1
13,99,27,56,55
18,51,47,49,66
12,4,98,20,61
9,2,60,9,2
71,75,55,60,79
43,67,53,78,65
74,23,70,38,60
89,25,86,34,38
39,49,76,1,90
10,53,61,21,75
53,31,63,18,12
0,39,7,8,16
63,24,93,43,45
47,13,79,70,96
75,4,89,12,22
53,89,23,90,80
85,78,80,58,75
3,78,29,72,34
27,91,54,87,7
25,62,71,45,48
58,89,63,88,75
17,58,50,50,54
73,52,94,40,24
88,0,72,3,65
6,70,93,3,60
100,80,27,35,66
55,26,12,8,71
5,90,5,1,78
12,33,82,21,65
16,35,8,11,35
81,65,34,39,85
31,11,79,29,47
27,99,14,18,12
69,66,9,87,9
70,37,81,23,46
9,55,35,35,49
74,6,4,64,30
7,5,64,26,36
61,63,7,81,65
97,59,89,72,41
93,62,4,12,78
63,88,43,58,89
60,92,54,15,21
45,88,54,68,53
69,79,89,43,83
36,61,58,21,20
87,30,89,5,64
73,91,6,5,95
88,13,14,44,30
63,38,66,49,5
15,46,21,95,25
66,4,100,63,39
35,21,73,86,42
85,19,52,85,95
37,5,0,56,82
12,28,73,71,96
58,4,60,80,39
79,61,4,10,96
54,35,71,12,81
5,52,13,76,86
22,15,61,84,20
59,100,30,13,91
85,77,62,59,58
1,16,5,63,55
9,19,51,20,17
98,57,68,24,52
74,37,11,52,14
7,74,32,96,61
3,1,91,21,1
79,85,17,21,98
26,8,82,75,36
94,26,90,37,59
20,48,78,12,83
6,57,34,81,39
37,48,35,38,71
85,24,4,50,35
35,70,46,99,25
0,87,68,97,92
54,71,46,59,65
62,36,30,29,0
35,17,96,86,78
2,61,3,21,43
44,26,10,96,13
17,54,19,23,12
64,54,58,66,67
65,42,26,88,85
82,58,10,18,87
77,38,26,70,62
65,21,24,14,94
80,0,54,23,81
76,43,13,19,94
31,24,87,92,37
55,34,36,63,50
67,75,38,61,67
18,32,80,52,73
71,75,0,82,30
50,22,22,68,90
32,42,74,73,10
100,77,70,35,68
42,52,66,44,13
26,17,87,1,32
4,10,23,91,58
35,65,57,79,21
57,49,6,31,100
44,76,48,4,12
68,81,51,12,67
51,58,53,4,74
22,24,76,39,12
2,100,32,10,41
84,67,69,86,90
43,64,91,81,92
81,71,69,72,22
16,59,10,38,12
68,81,87,11,27
50,66,9,97,32
80,54,72,41,6
89,74,37,74,60
97,20,21,79,26
57,0,55,75,86
99,26,59,53,22
76,55,1,82,47
36,75,99,30,7
47,27,49,100,6
76,89,20,45,74
14,86,6,36,80
82,63,62,23,9
67,20,7,86,12
64,62,70,80,42
80,85,88,51,82
84,17,17,70,28
72,28,58,95,18
50,50,21,48,34
20,51,21,66,94
72,87,34,17,27
44,36,89,78,33
5,60,100,99,35
22,18,67,92,74
64,26,86,26,28
73,65,81,54,24
64,39,65,47,62
64,39,5,6,73
75,27,87,33,92
9,8,90,44,36
52,22,23,89,18
23,16,53,72,26
86,56,94,17,19
48,50,19,36,0
54,19,94,38,17
56,95,54,50,46
48,1,67,56,50
75,51,9,53,73
24,66,51,38,67
81,62,46,34,56
83,3,93,83,42
17,25,7,95,47
53,43,79,73,81
28,36,69,97,8
49,89,11,51,72
12,14,58,48,41
70,76,72,97,21
47,25,99,20,46
2,94,80,44,81
9,45,95,79,4
55,20,3,86,10
51,33,23,19,26
54,54,57,50,49
66,66,33,38,69
92,12,73,70,67
23,98,9,86,19
84,70,67,79,4
71,0,6,84,99
82,89,63,56,73
63,29,98,73,8
77,72,99,48,79
41,16,40,21,67
23,94,12,93,78
80,71,85,59,85
94,11,3,92,53
55,61,95,13,67
5,67,27,63,21
78,61,73,16,73
72,4,9,73,41
33,7,42,60,51
62,56,17,59,68
98,9,24,27,40
89,21,2,46,10
30,82,28,80,1
67,92,100,50,63
1,39,22,44,53
61,5,56,81,77
88,18,29,87,79
66,40,81,15,33
85,69,2,60,56
88,21,36,0,83
95,68,44,50,77
23,9,72,14,7
36,79,91,26,63
11,91,55,5,25
14,14,76,49,41
55,70,66,92,95
86,100,77,79,90
93,21,29,12,14
49,88,72,40,28
70,46,51,45,48
43,78,87,92,86
61,76,48,13,15
58,45,71,90,21
26,92,90,11,57
57,55,55,88,75
50,7,45,29,47
36,98,57,46,19
47,13,61,6,79
64,74,33,97,29
45,35,7,48,74
38,96,10,69,53
74,35,61,37,5
20,40,63,95,7
47,41,47,33,11
40,71,60,22,86
52,90,76,65,14
83,42,4,88,28
16,51,83,60,32
70,45,67,20,3
48,94,46,14,10
87,42,38,6,92
63,82,16,54,81
99,55,18,91,25
88,58,39,91,45
72,99,15,44,100
91,48,76,19,28
42,74,57,74,66
89,1,67,60,36
71,34,95,27,51
25,87,8,29,36
13,31,43,16,0
39,76,86,20,88
0,77,42,86,25
63,83,38,9,36
54,36,57,62,12
50,43,11,78,57
77,25,44,67,8
38,48,9,16,81
15,60,60,93,58
13,4,35,67,33
86,25,42,35,11
76,13,88,69,89
8,14,50,24,86
62,51,36,70,68
15,90,17,58,54
12,57,20,12,2
88,39,35,45,3
97,59,58,18,8
75,34,19,29,71
80,27,90,72,45
19,3,93,87,36
40,95,32,46,63
50,6,37,1,5
50,19,19,42,6
54,54,24,98,57
56,43,22,42,26
45,89,7,22,79
54,24,26,76,93
56,72,92,51,72
28,20,65,38,50
87,81,41,75,100
74,6,97,87,14
68,24,9,47,16
17,64,51,31,20
63,30,64,81,38
50,5,69,87,97
70,63,8,54,33
4,47,17,48,8
20,40,97,15,4
24,32,38,64,4
33,24,93,11,2
6,66,31,10,3
81,79,63,99,46
66,34,75,11,69
42,40,74,85,48
87,8,88,26,32
9,10,33,97,71
46,5,68,74,65
48,77,15,74,71
70,0,59,99,55
71,33,17,37,70
6,13,96,5,64
80,4,46,56,19
66,25,42,53,7
47,34,42,32,66
70,34,87,64,37
66,93,2,56,19
73,41,32,95,98
42,7,7,19,74
57,9,99,18,43
2,61,38,72,83
48,20,92,41,28
34,62,35,27,79
45,1,3,14,36
79,72,65,66,69
63,37,30,36,40
13,90,81,12,5
99,1,0,12,18
49,23,55,58,39
91,17,61,29,43
47,88,15,31,98
92,93,35,31,80
32,60,40,60,47
72,77,16,28,43
96,90,53,61,46
20,78,92,61,39
21,82,99,15,45
67,98,94,97,86
63,27,62,78,5
36,59,42,54,24
59,37,61,17,40
20,35,45,32,56
26,97,0,12,4
1,77,29,47,0
12,30,51,21,51
99,80,54,32,24
30,87,80,13,85
10,9,90,12,57
82,36,45,11,30
39,35,40,19,1
25,70,90,60,82
69,46,74,50,89
33,59,91,84,61
63,25,88,38,0
24,46,81,96,54
87,0,77,22,41
85,50,94,79,94
89,29,52,51,31
57,25,19,69,84
58,25,95,89,75
97,99,71,18,17
92,64,8,98,96
21,15,92,41,16
19,11,75,12,98
72,36,48,33,27
31,92,27,41,72
32,59,71,11,90
58,98,2,73,66
12,20,97,94,86
74,12,90,29,95
25,1,42,11,61
56,33,63,13,96
8,34,25,5,72
43,62,16,96,10
85,60,81,37,64
45,10,72,17,27
98,31,37,86,82
14,39,26,1,81
11,58,37,15,22
38,71,21,12,98
66,36,64,65,85
27,78,76,84,90
31,29,84,50,36
90,26,78,30,60
46,94,63,77,63
59,95,35,38,99
41,50,25,73,30
74,91,31,63,29
99,37,27,54,43
66,72,37,40,49
96,80,59,37,56
50,14,60,13,38
42,55,69,20,26
84,42,86,4,32
90,49,22,59,69
17,0,7,91,11
76,56,38,77,64
23,94,67,29,12
91,32,97,31,87
10,87,45,45,76
5,100,26,54,16
8,73,52,82,71
94,19,34,69,30
58,48,42,35,27
2,4,33,66,21
85,87,95,68,46
79,5,49,67,84
6,31,54,28,41
89,1,32,86,91
7,93,88,85,11
2,7,88,100,93
34,15,17,76,10
7,75,50,94,47
90,67,97,37,12
98,32,82,100,11
74,30,34,9,56
28,100,1,48,3
1,34,33,60,82
30,41,45,94,51
22,68,1,96,92
25,93,66,12,56
90,96,60,50,24
44,87,73,2,50
8,73,70,86,64
38,70,26,13,84
27,68,95,35,67
0,74,49,94,37
77,12,96,71,10
19,27,61,5,65
59,91,93,13,97
67,16,31,91,60
59,26,18,65,72
52,5,74,83,60
48,69,9,12,78
94,69,11,79,37
29,15,8,88,33
90,55,22,82,88
71,18,44,88,1
23,17,22,44,93
10,71,9,11,68
47,1,14,29,46
30,25,81,8,29
97,55,86,56,96
48,93,63,55,21
84,31,99,68,99
53,22,67,25,50
49,98,98,66,32
43,61,19,69,34
56,69,99,21,86
31,49,8,35,37
28,36,21,53,74
5,48,57,72,13
63,81,76,70,41
82,7,32,90,53
50,18,59,41,38
15,2,73,4,20
10,12,76,10,1
5,70,65,78,74
49,51,94,29,53
15,6,2,17,32
88,88,46,29,57
55,93,69,10,86
17,75,43,9,65
15,4,18,43,55
1,91,7,66,49
50,100,32,14,39
89,73,75,6,10
45,24,13,53,98
31,54,51,29,79
50,65,25,22,18
62,88,61,72,41
44,4,74,27,72
27,41,50,95,2
39,33,63,11,65
46,77,8,71,58
16,98,68,77,15
37,93,34,59,44
91,7,82,31,37
92,67,98,65,64
20,60,69,75,42
45,47,26,0,28
81,80,84,98,31
11,31,35,5,40
80,35,60,58,82
69,61,83,9,98
39,63,36,55,83
8,62,10,17,62
42,17,92,59,14
40,88,37,83,27
4,62,63,20,19
33,77,78,15,10
81,75,77,80,8
74,63,8,64,33
72,48,70,69,90
80,55,65,36,53
44,89,59,92,4
34,87,62,14,69
89,90,72,80,10
19,40,61,67,92
75,12,59,51,86
90,17,40,7,77
51,79,36,92,80
87,27,63,84,37
37,70,80,29,78
82,17,75,33,2
78,46,23,6,11
14,100,44,70,76
59,100,53,41,9
33,24,73,77,77
60,79,69,86,19
36,52,16,53,41
4,71,82,16,20
98,98,1,0,79
41,97,15,52,21
32,67,23,56,25
62,9,54,98,5
70,45,43,44,12
56,56,73,2,97
14,56,64,9,53
86,54,44,55,6
15,19,54,46,81
48,32,89,97,33
40,24,53,63,56
26,80,85,37,32
59,45,100,29,86
6,44,72,2,82
43,14,25,65,50
57,22,24,67,99
75,23,78,33,23
100,27,58,85,47
86,55,53,25,89
72,65,60,100,61
44,32,29,32,39
61,100,68,83,70
73,33,89,26,89
48,0,33,97,94
66,21,83,93,75
46,27,82,40,53
33,54,91,44,100
49,8,40,68,94
56,98,94,93,4
94,36,23,78,62
0,40,60,61,68
16,60,44,54,98
66,60,77,8,34
98,71,50,62,12
19,70,11,69,0
93,23,56,9,66
85,63,53,7,87
54,59,42,30,13
43,1,50,41,30
72,100,67,71,36
19,8,60,99,22
92,42,59,42,69
2,26,64,57,25
84,52,2,24,79
51,69,4,58,14
77,17,93,13,76
62,36,28,34,69
50,80,74,79,99
67,33,55,17,18
62,82,58,19,77
4,36,76,96,47
17,41,72,25,95
88,90,42,45,65
44,98,89,20,43
55,21,8,25,43
53,62,77,75,93
94,74,15,53,88
1,2,11,49,53
38,69,1,59,10
84,22,43,95,14
73,25,49,88,40
72,44,84,93,26
26,22,22,98,71
50,82,88,14,54
11,57,47,49,6
10,24,0,64,61
28,40,68,47,23
21,56,40,54,64
44,63,13,94,61
99,8,5,100,30
58,95,65,9,69
62,81,92,83,30
32,85,67,48,95
71,46,30,78,35
99,64,49,40,97
41,16,18,91,65
10,61,68,86,20
95,53,29,35,71
10,60,49,32,77
25,90,41,62,99
41,36,46,35,95
83,78,35,90,99
20,4,97,84,76
44,97,47,43,6
97,58,55,24,51
88,69,66,86,98
94,74,18,16,36
34,39,82,88,43
22,81,83,5,43
75,57,0,80,83
87,30,6,14,36
11,1,26,69,43
32,29,27,29,23
13,71,99,65,57
67,75,21,46,5
66,38,92,86,6
52,16,71,8,10
96,22,44,7,27
70,3,76,74,81
9,81,37,52,74
57,14,18,88,30
86,63,31,56,48
80,62,19,90,39
28,89,100,71,43
93,4,52,1,24
29,7,1,82,46
1,21,60,44,8
41,86,4,28,14
77,36,3,19,53
8,59,6,56,31
14,67,69,35,57
63,79,63,90,38
87,55,59,60,20
43,44,76,88,11
71,69,93,88,85
79,35,30,79,71
61,96,84,55,75
77,79,97,83,83
26,4,59,87,36
13,88,40,34,88
1,6,28,55,7
8,83,89,68,82
67,9,14,80,47
3,19,26,16,49
9,55,83,20,70
7,78,50,7,99
91,2,92,4,88
1,14,78,99,50
78,33,28,16,39
66,93,49,21,89
85,52,67,26,11
71,72,73,99,80
36,31,99,97,94
57,34,62,39,75
32,31,4,2,66
7,56,62,19,2
39,46,47,1,36
70,70,0,85,19
81,30,64,18,10
38,87,18,29,7
49,59,53,34,95
74,36,91,64,1
25,51,28,35,72
92,4,58,33,76
77,71,74,13,35
27,34,95,94,63
44,17,62,38,18
45,3,98,69,7
77,19,65,48,90
0,4,46,24,55
78,16,5,0,1
46,11,80,52,42
33,6,75,78,77
57,40,71,55,20
63,44,24,88,88
96,10,16,43,6
91,25,14,52,1
17,96,41,39,49
69,45,49,56,44
92,36,40,86,67
90,34,92,66,89
92,60,88,99,1
49,42,96,57,89
98,24,46,17,83
58,56,48,12,87
99,0,78,2,28
66,68,77,18,71
16,18,11,69,0
9,32,98,33,63
88,90,62,91,73
77,23,17,53,86
33,54,94,13,59
29,94,37,71,0
16,18,58,31,26
52,67,75,23,79
92,93,47,1,68
59,22,77,11,60
21,23,45,33,27
51,45,97,20,68
71,18,93,87,10
57,6,89,4,68
89,58,100,81,90
83,38,91,39,64
67,84,80,45,90
11,28,39,62,1
96,95,6,4,68
8,84,89,45,34
80,8,4,22,64
13,73,54,97,55
61,70,19,83,16
7,64,16,23,27
52,1,8,20,60
53,22,23,30,44
54,1,58,99,5
54,18,51,89,77
82,11,77,53,22
36,89,87,30,99
39,67,63,98,36
48,58,92,59,29
26,56,56,75,42
62,28,99,65,23
15,12,76,52,5
47,60,36,70,47
52,5,79,95,88
57,4,53,12,70
22,57,88,61,97
100,19,8,89,58
34,75,96,80,54
91,34,46,78,73
19,67,22,6,11
46,79,80,73,36
53,33,55,74,35
63,80,32,19,14
50,27,81,43,96
37,48,48,27,90
97,95,7,56,21
23,33,63,41,0
47,14,68,11,85
44,2,86,42,28
80,25,17,58,56
39,16,47,20,1
93,75,0,43,39
50,99,84,25,2
27,100,67,57,12
39,79,61,5,75
59,82,15,6,86
39,50,99,46,19
98,100,91,70,28
95,10,32,73,41
45,70,88,43,40
57,49,19,87,31
22,3,12,42,64
35,41,26,60,16
15,28,18,14,42
98,53,61,29,62
84,52,59,62,80
68,41,10,79,90
76,32,100,0,29
32,13,93,60,29
30,25,27,27,18
13,28,93,83,28
94,28,83,40,17
78,19,87,56,92
28,68,50,67,75
93,68,42,16,97
87,89,91,60,46
6,55,3,55,30
62,6,63,40,93
79,48,83,1,52
87,69,96,73,44
88,92,71,12,7
92,52,39,47,52
78,76,15,19,74
77,72,24,29,12
38,27,37,59,42
63,13,81,10,51
21,57,91,27,48
68,51,69,81,41
12,15,74,98,86
65,72,64,67,89
46,10,67,69,78
75,12,12,62,48
97,23,7,19,57
77,90,6,0,49
50,99,5,31,35
31,5,54,58,93
78,68,88,92,50
30,17,11,73,15
24,78,70,80,49
57,51,21,62,29
55,10,77,16,86
46,53,23,47,64
100,97,1,80,88
42,3,79,43,13
79,70,16,68,69
0,99,4,53,53
7,70,99,89,90
94,91,45,95,64
34,16,23,44,22
66,82,61,64,82
100,44,29,0,43
77,53,60,51,22
98,2,18,84,44
38,86,80,64,42
44,78,18,52,7
88,96,54,34,98
57,39,42,87,37
74,75,77,12,39
58,15,28,21,77
14,70,19,29,20
93,49,33,73,2
15,6,70,9,32
79,42,38,71,20
42,87,25,14,61
33,34,53,50,32
31,59,15,30,70
56,55,53,71,68
73,85,16,40,13
35,5,74,85,72
9,13,100,36,29
85,79,1,91,16
47,9,15,2,57
24,9,35,6,31
30,73,97,41,95
65,83,91,4,62
63,17,11,51,30
24,100,7,37,41
23,19,89,9,80
61,8,29,8,75
9,95,18,34,2
52,11,9,16,23
86,78,91,44,20
34,64,67,64,64
9,94,15,57,21
94,30,37,22,95
29,84,42,94,42
86,1,67,54,99
82,59,23,99,75
72,34,6,30,50
31,61,68,42,95
15,61,45,75,79
54,15,55,56,40
48,48,74,78,99
3,91,50,26,34
83,9,60,65,65
22,6,63,15,74
76,99,63,20,4
91,42,33,60,30
75,21,8,13,72
73,5,2,4,34
4,92,81,61,60
100,20,58,87,43
33,66,12,98,44
32,89,91,10,95
33,20,81,82,65
34,55,52,79,6
30,95,72,33,27
67,55,3,72,22
16,87,93,33,59
35,45,67,32,100
92,5,78,17,33
73,4,35,13,95
6,18,62,98,72
69,66,8,22,93
60,76,53,23,66
37,66,49,90,59
15,35,24,30,14
48,65,80,41,96
48,21,23,62,61
73,82,56,27,87
9,1,50,34,51
35,61,66,13,80
83,92,26,71,34
19,2,36,97,98
99,88,40,86,45
49,72,53,98,66
28,48,30,7,35
53,32,40,93,79
84,84,31,51,96
62,14,36,8,32
4,82,2,35,76
61,51,62,16,100
32,2,19,55,31
21,71,21,55,10
47,9,40,34,0
55,69,95,69,31
39,2,20,45,15
31,76,16,77,97
47,79,77,24,39
51,7,4,98,18
6,39,99,47,26
95,14,34,5,27
67,17,8,6,33
45,84,51,94,75
81,60,41,36,93
86,46,73,37,69
37,42,21,73,6
13,81,89,58,26
30,18,21,86,52
10,23,4,68,3
24,72,9,86,6
61,45,76,8,14
34,63,67,95,65
74,59,67,38,63
94,55,97,43,29
6,19,23,41,43
12,23,76,21,12
3,70,3,81,44
42,70,52,55,27
95,11,74,89,100
17,74,83,4,14
32,56,64,28,81
63,26,15,98,67
95,9,64,38,17
76,66,33,75,44
34,83,37,57,97
67,74,52,43,26
15,65,48,2,60
54,81,41,65,42
72,80,100,41,86
93,23,86,75,81
49,11,54,27,0
96,31,67,55,99
62,47,83,14,47
76,74,96,11,27
91,37,40,76,51
10,70,99,85,37
22,44,98,73,32
100,96,53,24,83
64,6,90,86,4
84,95,52,88,10
74,98,29,69,95
43,76,12,91,5
65,18,67,85,42
35,2,2,35,7
32,67,62,72,69
17,78,97,55,82
19,7,65,77,23
44,24,41,97,94
90,12,63,93,39
17,30,92,26,36
42,95,39,11,91
53,42,51,51,88
11,23,25,48,28
79,47,88,16,29
75,97,25,61,44
18,31,7,71,45
88,32,11,55,69
2,21,63,46,66
21,3,5,39,66
34,53,6,46,11
49,97,27,10,63
17,88,90,86,92
87,34,25,15,88
92,26,39,83,72
52,85,100,7,43
12,32,56,56,34
0,53,47,74,39
69,42,5,93,69
69,46,83,94,38
79,97,89,29,28
15,71,76,65,4
6,86,66,31,39
18,27,71,99,18
8,2,41,36,56
57,22,61,65,20
76,11,8,53,27
62,1,6,1,51
39,16,53,83,65
77,70,97,83,89
52,70,12,90,5
58,39,35,71,8
8,100,83,94,35
80,32,1,96,80
53,65,14,88,89
57,27,63,30,39
25,41,51,42,40
20,47,76,43,27
75,58,23,24,78
42,2,9,53,32
60,25,12,84,37
44,39,3,1,2
82,35,56,9,68
4,87,91,33,55
97,22,74,67,35
75,78,13,95,77
9,79,42,87,22
36,99,43,71,99
33,39,13,2,27
56,88,34,10,18
73,51,58,36,27
6,97,80,26,86
61,16,45,36,31
50,38,69,74,3
73,15,25,96,1
55,34,42,36,0
72,83,60,96,15
47,24,68,4,51
40,27,28,63,26
5,32,11,79,18
77,60,36,76,27
54,69,9,56,57
76,74,53,57,82
48,44,14,98,31
39,34,93,84,55
31,18,45,4,15
24,16,39,99,2
47,1,47,42,22
94,48,3,28,80
14,43,47,40,87
53,3,15,53,37
5,70,18,50,38
83,6,79,36,11
9,77,64,20,38
24,55,91,13,11
41,97,43,25,10
92,65,79,96,54
85,77,36,74,48
10,79,31,7,61
57,21,30,54,71
49,1,10,7,79
18,58,21,2,95
92,47,43,38,80
12,98,71,87,3
92,18,95,4,46
40,82,61,11,97
22,19,8,91,0
3,25,21,0,58
31,43,39,25,50
64,80,72,15,77
99,49,22,6,5
84,77,82,15,2
42,89,78,79,54
78,68,66,13,54
45,8,46,4,62
37,58,78,53,23
16,15,41,85,78
90,37,9,18,79
83,89,79,37,83
97,36,94,85,55
78,66,52,50,69
57,47,27,39,27
60,0,27,14,60
10,48,53,95,31
5,23,79,100,93
96,60,50,85,32
45,51,75,70,38
84,34,2,26,97
30,32,88,36,26
66,17,46,10,65
84,37,3,65,87
3,20,94,65,6
72,68,1,92,49
83,22,49,100,87
39,93,41,83,31
14,18,32,78,49
8,61,39,35,3
34,38,5,1,39
41,6,81,14,55
64,75,4,44,75
21,30,87,59,48
45,69,16,68,24
78,49,50,37,28
98,99,6,21,53
31,69,20,87,7
40,47,70,76,14
63,16,71,93,30
29,78,65,25,55
9,41,34,51,30
75,53,94,98,65
69,26,68,3,46
49,57,10,56,33
87,30,10,29,7
56,53,37,48,40
18,88,84,32,30
66,17,28,75,35
55,13,97,36,38
84,94,60,92,83
51,39,24,50,89
82,25,6,1,81
23,51,37,8,74
52,0,76,86,20
26,2,86,41,23
40,19,34,89,22
91,61,12,100,13
69,40,24,4,40
61,20,46,50,95
59,64,77,23,89
58,12,94,87,82
51,51,43,25,76
43,28,95,34,66
78,80,84,23,91
78,37,79,49,79
76,54,74,98,1
59,67,68,21,19
44,22,90,91,52
74,41,14,66,48
57,90,74,47,49
8,74,11,62,85
11,9,93,24,58
68,58,30,35,66
41,38,84,27,70
97,89,3,35,69
57,76,47,93,79
81,68,3,11,14
71,40,4,99,5
61,87,40,50,13
99,26,74,73,80
87,3,25,43,50
36,34,5,23,4
73,35,91,100,70
28,46,52,46,25
67,50,16,37,2
63,98,23,63,3
88,17,73,97,7
2,77,31,56,35
10,91,2,4,72
94,90,78,93,41
65,60,87,25,78
14,17,89,30,34
59,15,66,37,12
44,43,96,94,80
43,69,9,100,7
12,77,5,89,42
30,98,54,82,44
38,51,22,53,48
6,87,36,88,88
96,32,36,2,40
24,81,34,92,96
60,96,48,48,50
70,24,90,90,15
72,17,52,39,29
7,58,6,23,85
81,69,89,58,80
63,36,43,44,11
86,35,17,71,28
46,74,96,67,35
48,68,3,5,17
56,59,8,60,63
94,51,41,94,8
28,35,57,10,79
34,64,76,68,41
79,78,40,52,29
65,71,47,74,48
63,26,17,76,76
95,65,90,40,19
100,47,51,4,74
82,9,17,41,23
10,24,33,10,62
59,23,47,21,41
26,17,46,39,81
82,32,33,86,65
55,39,100,87,89
70,3,30,21,25
37,9,64,17,14
83,77,77,76,22
91,22,3,35,3
24,25,49,43,36
70,51,49,38,68
6,3,41,18,45
16,87,77,2,41
69,34,17,72,87
57,7,80,41,71
43,91,1,67,60
6,100,9,39,98
64,24,7,64,12
79,87,79,68,37
28,24,50,99,34
78,9,33,58,32
44,83,22,78,56
66,68,37,53,34
20,62,13,56,59
98,90,58,31,96
8,29,38,12,13
0,5,18,92,77
93,25,14,87,12
71,3,20,90,97
2,94,74,59,71
43,12,64,27,54
82,91,4,32,19
14,73,39,77,73
26,6,50,76,94
52,29,48,5,60
42,68,32,51,33
2,92,60,98,35
78,24,94,53,92
80,72,93,46,96
77,56,34,4,90
85,81,55,38,6
15,79,66,4,50
2,16,6,4,89
41,13,93,79,77
96,45,13,75,37
63,39,9,25,26
67,82,69,59,42
67,16,51,46,70
52,20,8,0,78
53,19,99,33,100
30,25,15,50,74
46,86,50,99,45
42,38,93,35,20
51,55,100,48,2
67,63,67,86,72
97,33,3,40,64
14,100,18,69,42
89,62,59,69,57
61,14,42,2,60
60,12,26,33,0
60,46,91,65,45
96,99,6,58,91
78,73,57,17,90
88,87,44,90,36
7,95,78,52,45
73,100,50,5,71
91,82,7,10,91
61,81,0,67,39
18,53,68,35,48
84,20,58,8,17
17,77,2,4,38
76,73,6,10,31
98,6,39,95,56
56,65,90,24,83
26,60,1,93,77
79,45,48,90,13
59,14,16,56,37
24,75,68,29,46
43,64,88,62,9
16,1,98,1,63
34,5,59,36,75
18,99,46,64,56
55,79,91,79,58
80,6,80,65,6
9,19,1,78,27
18,71,8,2,8
37,73,60,29,17
20,9,4,88,50
6,53,4,23,54
76,72,82,27,56
71,36,70,11,35
9,23,26,25,0
75,90,13,94,63
32,10,39,27,93
83,20,38,82,10
61,5,14,74,62
12,11,6,37,67
17,56,62,47,89
16,36,12,19,5
51,24,49,60,64
20,22,66,13,50
64,61,38,60,10
15,76,2,83,28
7,79,10,98,11
24,24,78,84,57
30,96,67,8,94
37,4,38,45,2
20,58,55,93,94
0,62,77,21,91
14,43,18,12,75
43,91,0,31,5
18,59,94,62,67
37,72,74,64,35
54,79,8,24,14
79,40,90,63,43
3,16,58,20,1
91,89,42,39,42
65,80,100,73,39
56,62,57,56,70
92,60,19,8,0
8,70,30,24,90
5,22,89,76,0
13,24,27,90,33
43,1,61,67,3
7,5,84,100,86
36,5,56,37,28
84,60,98,23,34
40,16,33,68,12
5,48,34,84,76
78,35,44,74,9
73,42,51,17,85
0,59,98,93,34
68,77,74,31,6
30,30,64,56,86
68,57,32,35,8
38,76,56,6,62
5,2,80,96,16
28,5,31,36,8
51,80,70,53,62
56,1,94,98,25
85,41,44,5,7
97,48,79,67,36
31,98,59,58,21
20,76,23,86,65
39,98,81,32,37
4,94,36,69,37
6,99,11,80,41
17,99,64,14,41
92,53,88,74,67
91,94,46,78,67
38,89,80,72,93
47,65,0,63,59
85,45,80,41,8
21,61,7,57,73
71,24,23,24,17
28,53,92,85,71
69,78,70,56,11
97,50,71,28,49
34,89,22,56,93
78,0,63,76,67
11,97,14,68,60
21,64,26,30,0
18,24,96,1,17
94,60,26,86,62
64,12,16,69,66
23,26,45,100,35
80,100,18,56,67
45,1,88,8,59
90,38,41,70,62
32,56,99,81,25
85,25,77,29,67
10,13,29,53,25
37,47,90,86,84
87,16,80,60,35
41,60,49,47,95
86,3,37,16,40
77,74,93,6,84
71,29,3,24,42
19,74,9,82,66
